hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,111,2016,August,33,13,2,5,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,159.3,0,1,Check-Out,2016-08-20
City Hotel,0,88,2016,August,34,16,0,4,0,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,K,5,No Deposit,9.0,,0,Transient,32.85,0,2,Check-Out,2016-08-20
City Hotel,0,88,2016,August,34,19,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,131.4,0,2,Check-Out,2016-08-20
City Hotel,0,219,2016,August,34,17,0,3,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,22.0,,0,Transient,72.25,0,0,Check-Out,2016-08-20
City Hotel,0,1,2016,August,34,20,0,0,2,0.0,0,BB,PRT,Online TA,TA/TO,1,0,0,A,A,0,No Deposit,7.0,,0,Transient,0.0,0,0,Check-Out,2016-08-20
City Hotel,0,170,2016,August,34,18,0,3,2,0.0,0,BB,CYP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,108.3,0,1,Check-Out,2016-08-21
City Hotel,0,0,2016,August,34,20,0,1,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,168.3,0,2,Check-Out,2016-08-21
City Hotel,0,155,2016,August,34,14,2,5,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,105.52,0,3,Check-Out,2016-08-21
City Hotel,0,79,2016,August,34,17,0,4,1,0.0,0,BB,GBR,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,,0,Transient,159.3,0,0,Check-Out,2016-08-21
City Hotel,0,1,2016,August,34,20,0,1,2,0.0,0,SC,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,107.03,0,0,Check-Out,2016-08-21
City Hotel,0,32,2016,August,34,20,0,1,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,7.0,,0,Transient,96.33,0,1,Check-Out,2016-08-21
City Hotel,0,137,2016,August,34,19,0,2,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,118.8,1,1,Check-Out,2016-08-21
City Hotel,0,80,2016,August,34,18,0,3,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,E,E,1,No Deposit,14.0,,0,Transient,168.3,0,1,Check-Out,2016-08-21
City Hotel,0,5,2016,August,34,20,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,130.0,0,1,Check-Out,2016-08-21
City Hotel,0,5,2016,August,34,20,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,130.0,0,1,Check-Out,2016-08-21
City Hotel,0,5,2016,August,34,20,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,130.0,0,1,Check-Out,2016-08-21
City Hotel,0,5,2016,August,34,20,0,1,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,130.0,0,1,Check-Out,2016-08-21
City Hotel,0,5,2016,August,34,20,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,130.0,0,1,Check-Out,2016-08-21
City Hotel,0,21,2016,August,34,19,0,2,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,148.0,0,2,Check-Out,2016-08-21
City Hotel,0,17,2016,August,34,19,0,2,2,2.0,0,HB,ESP,Direct,Direct,0,0,0,G,G,0,No Deposit,14.0,,0,Transient,286.2,0,0,Check-Out,2016-08-21
City Hotel,0,166,2016,August,34,17,0,4,2,0.0,0,BB,HUN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,103.7,0,1,Check-Out,2016-08-21
City Hotel,0,115,2016,August,34,14,2,5,3,0.0,0,BB,RUS,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,144.13,0,3,Check-Out,2016-08-21
City Hotel,0,0,2016,August,34,20,0,1,2,0.0,0,SC,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,129.0,0,0,Check-Out,2016-08-21
City Hotel,0,0,2016,August,34,19,0,2,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,148.0,0,0,Check-Out,2016-08-21
City Hotel,0,79,2016,August,34,18,0,3,3,0.0,0,BB,SWE,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,,0,Transient,198.3,0,1,Check-Out,2016-08-21
City Hotel,0,129,2016,August,34,16,0,5,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,124.2,0,2,Check-Out,2016-08-21
City Hotel,0,129,2016,August,34,16,0,5,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,124.2,0,2,Check-Out,2016-08-21
City Hotel,0,129,2016,August,34,16,0,5,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,124.2,0,2,Check-Out,2016-08-21
City Hotel,0,0,2016,August,34,20,0,1,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,139.0,0,1,Check-Out,2016-08-21
City Hotel,0,37,2016,August,34,18,0,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,144.9,1,2,Check-Out,2016-08-21
City Hotel,0,162,2016,August,34,14,2,5,2,1.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,120.82,0,1,Check-Out,2016-08-21
City Hotel,0,7,2016,August,34,20,0,1,3,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,165.0,0,1,Check-Out,2016-08-21
City Hotel,0,197,2016,August,34,18,0,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient-Party,112.0,0,1,Check-Out,2016-08-21
City Hotel,0,7,2016,August,34,20,0,1,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,130.0,0,2,Check-Out,2016-08-21
City Hotel,0,40,2016,August,34,19,0,2,3,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,228.6,1,2,Check-Out,2016-08-21
City Hotel,0,3,2016,August,34,20,0,1,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,128.0,0,1,Check-Out,2016-08-21
City Hotel,0,38,2016,August,34,15,1,5,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,177.3,1,2,Check-Out,2016-08-21
City Hotel,0,180,2016,August,34,14,2,5,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,7.0,,0,Transient,95.13,0,2,Check-Out,2016-08-21
City Hotel,0,121,2016,August,34,18,0,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,156.0,0,1,Check-Out,2016-08-21
City Hotel,0,12,2016,August,34,19,0,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,187.5,1,1,Check-Out,2016-08-21
City Hotel,0,215,2016,August,34,14,2,5,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,92.16,0,1,Check-Out,2016-08-21
City Hotel,0,72,2016,August,34,18,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,135.9,0,2,Check-Out,2016-08-21
City Hotel,0,119,2016,August,33,13,2,6,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85.0,,0,Transient,72.25,0,0,Check-Out,2016-08-21
City Hotel,0,0,2016,August,34,20,0,1,2,0.0,0,SC,POL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,139.0,0,0,Check-Out,2016-08-21
City Hotel,0,82,2016,August,34,19,0,2,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,150.3,0,3,Check-Out,2016-08-21
City Hotel,0,0,2016,August,34,20,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,125.0,0,0,Check-Out,2016-08-21
City Hotel,0,0,2016,August,34,20,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,125.0,0,0,Check-Out,2016-08-21
City Hotel,0,1,2016,August,34,20,0,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,139.0,0,0,Check-Out,2016-08-21
City Hotel,0,44,2016,August,34,17,0,4,2,1.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,D,2,No Deposit,9.0,,0,Transient,152.1,0,1,Check-Out,2016-08-21
City Hotel,0,152,2016,August,34,20,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,105.3,0,2,Check-Out,2016-08-21
City Hotel,0,60,2016,August,34,15,1,5,2,0.0,0,BB,BEL,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,158.95,0,1,Check-Out,2016-08-21
City Hotel,0,69,2016,August,34,15,1,5,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,135.9,0,1,Check-Out,2016-08-21
City Hotel,0,143,2016,August,34,20,0,1,2,0.0,0,SC,ROU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,94.5,0,0,Check-Out,2016-08-21
City Hotel,0,1,2016,August,34,20,0,1,2,0.0,0,SC,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,138.0,0,1,Check-Out,2016-08-21
City Hotel,0,183,2016,August,34,16,0,5,3,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,,0,Transient,187.5,0,0,Check-Out,2016-08-21
City Hotel,0,3,2016,August,34,20,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,140.0,0,3,Check-Out,2016-08-21
City Hotel,0,29,2016,August,34,20,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,151.0,0,0,Check-Out,2016-08-21
City Hotel,0,1,2016,August,34,20,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,79.0,0,1,Check-Out,2016-08-21
City Hotel,0,1,2016,August,34,20,0,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,155.0,,0,Transient,159.0,0,0,Check-Out,2016-08-21
City Hotel,0,0,2016,August,34,19,0,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,148.0,0,1,Check-Out,2016-08-21
City Hotel,0,85,2016,August,34,16,0,5,2,1.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,134.1,0,2,Check-Out,2016-08-21
City Hotel,0,1,2016,August,34,20,0,1,1,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,D,0,No Deposit,14.0,,0,Transient,157.0,1,1,Check-Out,2016-08-21
City Hotel,0,0,2016,August,34,20,0,1,1,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,92.17,0,0,Check-Out,2016-08-21
City Hotel,0,197,2016,August,34,18,0,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient-Party,112.0,0,1,Check-Out,2016-08-21
City Hotel,0,180,2016,August,34,20,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9.0,,0,Transient,97.54,0,1,Check-Out,2016-08-21
City Hotel,0,180,2016,August,34,20,0,1,0,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9.0,,0,Transient,97.54,0,1,Check-Out,2016-08-21
City Hotel,0,0,2016,August,34,18,0,3,1,0.0,0,BB,DNK,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,178.33,0,1,Check-Out,2016-08-21
City Hotel,0,0,2016,August,34,20,0,1,1,0.0,0,BB,MAR,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,109.65,0,0,Check-Out,2016-08-21
City Hotel,0,5,2016,August,34,20,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,130.0,0,3,Check-Out,2016-08-21
City Hotel,0,88,2016,August,34,19,0,2,3,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,150.3,0,2,Check-Out,2016-08-21
City Hotel,0,13,2016,August,34,19,0,2,2,0.0,0,SC,MAR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,128.5,0,3,Check-Out,2016-08-21
City Hotel,0,45,2016,August,34,20,0,1,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,207.9,0,2,Check-Out,2016-08-21
City Hotel,0,199,2016,August,34,14,2,5,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,127.62,0,2,Check-Out,2016-08-21
City Hotel,0,21,2016,August,34,15,1,5,2,2.0,0,HB,ESP,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,,0,Transient,242.0,1,1,Check-Out,2016-08-21
City Hotel,0,2,2016,August,34,19,0,2,1,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,133.0,0,2,Check-Out,2016-08-21
City Hotel,0,112,2016,August,34,14,2,5,2,2.0,0,BB,FRA,Direct,Direct,0,0,0,G,G,0,No Deposit,14.0,,0,Transient,240.3,0,1,Check-Out,2016-08-21
City Hotel,0,18,2016,August,34,20,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,131.0,0,1,Check-Out,2016-08-21
City Hotel,0,18,2016,August,34,20,0,1,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,125.0,0,1,Check-Out,2016-08-21
City Hotel,0,1,2016,August,34,20,1,1,2,0.0,0,SC,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,139.0,0,0,Check-Out,2016-08-22
City Hotel,0,168,2016,August,34,20,1,1,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient-Party,94.5,0,1,Check-Out,2016-08-22
City Hotel,0,168,2016,August,34,20,1,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient-Party,94.5,0,1,Check-Out,2016-08-22
City Hotel,0,50,2016,August,34,19,1,2,2,2.0,0,BB,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,14.0,,0,Transient,240.3,0,0,Check-Out,2016-08-22
City Hotel,0,163,2016,August,34,15,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,,0,Transient,72.25,0,1,Check-Out,2016-08-22
City Hotel,0,17,2016,August,35,21,1,0,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,A,2,No Deposit,14.0,,0,Transient,155.25,0,0,Check-Out,2016-08-22
City Hotel,0,102,2016,August,34,19,1,2,3,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,152.1,0,3,Check-Out,2016-08-22
City Hotel,0,102,2016,August,34,19,1,2,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,119.7,0,2,Check-Out,2016-08-22
City Hotel,0,30,2016,August,34,15,2,5,2,0.0,0,SC,DNK,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,125.1,0,1,Check-Out,2016-08-22
City Hotel,0,6,2016,August,35,21,1,0,2,0.0,0,SC,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85.0,,0,Transient,75.0,0,0,Check-Out,2016-08-22
City Hotel,0,219,2016,August,34,20,1,1,1,0.0,0,HB,ITA,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1.0,,0,Transient-Party,73.0,0,0,Check-Out,2016-08-22
City Hotel,0,219,2016,August,34,20,1,1,2,0.0,0,HB,ITA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,96.0,0,0,Check-Out,2016-08-22
City Hotel,0,125,2016,August,34,20,1,1,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,177.3,0,2,Check-Out,2016-08-22
City Hotel,0,0,2016,August,35,21,1,0,2,1.0,0,SC,PRT,Direct,Direct,0,0,0,A,C,1,No Deposit,,,0,Transient,152.0,0,0,Check-Out,2016-08-22
City Hotel,0,90,2016,August,34,20,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.9,1,1,Check-Out,2016-08-22
City Hotel,0,217,2016,August,34,18,1,3,2,0.0,0,HB,ITA,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1.0,,0,Transient-Party,80.5,0,1,Check-Out,2016-08-22
City Hotel,0,34,2016,August,35,21,1,0,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,,,0,Transient,207.9,0,1,Check-Out,2016-08-22
City Hotel,0,219,2016,August,34,20,1,1,3,0.0,0,HB,ITA,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1.0,,0,Transient-Party,139.2,0,0,Check-Out,2016-08-22
City Hotel,0,219,2016,August,34,20,1,1,2,0.0,0,HB,ITA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,96.0,0,0,Check-Out,2016-08-22
City Hotel,0,219,2016,August,34,20,1,1,2,0.0,0,HB,ITA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,96.0,0,0,Check-Out,2016-08-22
City Hotel,0,219,2016,August,34,20,1,1,2,0.0,0,HB,ITA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,96.0,0,0,Check-Out,2016-08-22
City Hotel,0,219,2016,August,34,20,1,1,3,0.0,0,HB,ITA,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1.0,,0,Transient-Party,139.2,0,0,Check-Out,2016-08-22
City Hotel,0,219,2016,August,34,20,1,1,2,0.0,0,HB,ITA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,96.0,0,0,Check-Out,2016-08-22
City Hotel,0,0,2016,August,35,21,1,0,2,1.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,2,No Deposit,,,0,Transient,164.0,0,0,Check-Out,2016-08-22
City Hotel,0,123,2016,August,35,21,1,0,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,146.7,1,0,Check-Out,2016-08-22
City Hotel,0,120,2016,August,34,16,1,5,0,3.0,0,HB,FRA,Direct,Direct,0,0,0,D,D,3,No Deposit,,,0,Transient-Party,53.4,0,3,Check-Out,2016-08-22
City Hotel,0,120,2016,August,34,16,1,5,3,0.0,0,HB,FRA,Direct,Direct,0,0,0,D,D,2,No Deposit,,,0,Transient-Party,178.2,0,3,Check-Out,2016-08-22
